bowl_name,spawn_pose_xyz,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,execution_time_s,failure_count,failure_reasons
bowl_0001,"[2.585, 2.4229, 0.9968]",bowl_wiping,f9cf579a-8eb0-481f-a60e-acbbbdaf7536,bowl_0001,2734730367,apartment_root,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,pr2,failed,,sponge_left,fallback,2,1,0,True,False,False,,6.093322642000203,2,RIGHT primary -> AttributeError: 'ellipsis' object has no attribute 'id' | LEFT fallback -> AttributeError: 'ellipsis' object has no attribute 'id'
bowl_0002,"[2.6115, 3.9149, 0.9968]",bowl_wiping,f9cf579a-8eb0-481f-a60e-acbbbdaf7536,bowl_0002,2734730367,apartment_root,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,pr2,failed,,sponge_left,fallback,2,1,0,True,False,False,,6.242305029999443,2,RIGHT primary -> AttributeError: 'ellipsis' object has no attribute 'id' | LEFT fallback -> AttributeError: 'ellipsis' object has no attribute 'id'
bowl_0003,"[2.486, 3.0471, 0.9968]",bowl_wiping,f9cf579a-8eb0-481f-a60e-acbbbdaf7536,bowl_0003,2734730367,apartment_root,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,pr2,failed,,sponge_left,fallback,2,1,0,True,False,False,,6.371042132000184,2,RIGHT primary -> AttributeError: 'ellipsis' object has no attribute 'id' | LEFT fallback -> AttributeError: 'ellipsis' object has no attribute 'id'
bowl_0001,"[2.6256, 1.5399, 0.9968]",bowl_wiping,2c57f329-adfc-4d1a-8537-d5ba015e668d,bowl_0001,182313920,apartment_root,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,pr2,failed,,sponge_left,fallback,2,1,0,True,False,False,,4.028516829000182,2,RIGHT primary -> AttributeError: 'ellipsis' object has no attribute 'id' | LEFT fallback -> AttributeError: 'ellipsis' object has no attribute 'id'
bowl_0001,"[2.5645, 1.4594, 0.9968]",bowl_wiping,15982765-bd07-4846-bb63-3383947ef12b,bowl_0001,383953410,apartment_root,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_success,False,,False,False,False,True,pr2,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,7.01527759200053,0,
wipe_target_0001,"[2.9164, 2.9071, 0.9968]",bowl_wiping,483f539c-1fd0-4e7c-b000-15135666688d,wipe_target_0001,3899723484,apartment_root,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_success,False,,False,False,False,True,pr2,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,6.458841478000068,0,
wipe_target_0001,"[0.6, 2.3639, 1.2646]",bowl_wiping,1a5eff94-f9d2-4d0e-b11d-8ac495a106d3,wipe_target_0001,175129092,apartment_root,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,pr2,failed,,sponge_left,fallback,2,1,0,True,False,False,,4.030242292000366,2,RIGHT primary -> TypeError: unhashable type: 'PoseStamped' | LEFT fallback -> TypeError: unhashable type: 'PoseStamped'
wipe_target_0001,"[0.6, 2.3363, 0.7435]",bowl_wiping,afb16081-de4d-4508-b720-492ebf04adbb,wipe_target_0001,1086426594,apartment_root,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,collision_or_motion_failure,task_failed,all_wipe_attempts_failed,False,,False,False,False,False,pr2,failed,,sponge_left,fallback,2,1,2,True,False,False,,96.6274336689994,2,RIGHT primary -> CollisionError (reported as timeout): Timeout reached while waiting for end of motion. | LEFT fallback -> CollisionError (reported as timeout): Timeout reached while waiting for end of motion.
wipe_target_0001,"[0.6, 2.588, 0.5201]",bowl_wiping,f76a2eea-f2d5-4e33-870c-0dad89daa59e,wipe_target_0001,4114596466,apartment_root,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_success,False,,False,False,False,True,pr2,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,8.73965520999991,0,
wipe_target_0001,"[0.6, 2.2789, 0.7099]",bowl_wiping,e202634e-ee4d-49c1-9e9b-66188bd8c91d,wipe_target_0001,2541414117,apartment_root,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_success,False,,False,False,False,True,pr2,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,7.316223971999534,0,
wipe_target_0001,"[0.6, 2.6028, 0.5344]",bowl_wiping,2a3d57e9-4c70-468d-a5ec-7889c41cadf4,wipe_target_0001,3313480525,apartment_root,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_success,False,,False,False,False,True,pr2,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,8.16000762800013,0,
wipe_target_0001,"[0.6, 2.4933, 0.5331]",bowl_wiping,e8fe8ecf-c752-4830-aadc-110debca1ae4,wipe_target_0001,1687338527,apartment_root,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_success,False,,False,False,False,True,pr2,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,8.75471723999999,0,
wipe_target_0001,"[2.2844, 2.7058, 0.7247]",bowl_wiping,4445fba6-4e6a-412c-9881-b25663ab21c1,wipe_target_0001,30383564,apartment_root,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_success,False,,False,False,False,True,pr2,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,7.207092562999605,0,
wipe_target_0001,"[2.4586, 2.4262, 0.9968]",bowl_wiping,c331fa23-13cc-4258-86a3-7303be735eeb,wipe_target_0001,2645742713,apartment_root,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_success,False,,False,False,False,True,pr2,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,7.23574723099955,0,
