target_name,spawn_pose_xyz,environment_name,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,robot_world_x,robot_world_y,robot_world_z,robot_quat_x,robot_quat_y,robot_quat_z,robot_quat_w,robot_roll_rad,robot_pitch_rad,robot_yaw_rad,robot_to_object_yaw_rad,object_yaw_relative_to_robot_rad,object_yaw_relative_to_approach_rad,cut_normal_relative_to_robot_rad,cut_normal_relative_to_approach_rad,cut_normal_approach_abs_angle_rad,cut_normal_approach_parallel_score,cut_normal_approach_perpendicular_score,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,motion_approach_completed,motion_waypoint_count,motion_stopped_waypoint_index,motion_stopped_waypoint_fraction,motion_stopped_waypoint_x,motion_stopped_waypoint_y,motion_stopped_waypoint_z,motion_stopped_distance_m,motion_progress_note,execution_time_s,failure_count,failure_reasons
wipe_target_0001,"[1.3931, 0.9015, 0.855]",kitchen,space_wiping,cf011e20-5625-4376-9866-55ba37cde392,wipe_target_0001,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,tiago,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,1.393053,0.901504,0.855,sink_area,,,,,,,,1.393053,0.901504,0.855,0.0,0.0,0.340686,0.940177,0.0,-0.0,0.695294,,,,,,,,,,,,,,0.580444,0.733857,0.0985,0.0,0.0,0.330727,0.943727,0.0,-0.0,0.674147,,,,,,,,,wipe,,,3,,,,,,,,,,5.9625,0,
wipe_target_0002,"[1.6019, 1.0283, 0.855]",kitchen,space_wiping,cf011e20-5625-4376-9866-55ba37cde392,wipe_target_0002,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,tiago,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,1.601891,1.028335,0.855,sink_area,,,,,,,,1.601891,1.028335,0.855,0.0,0.0,0.98997,0.141277,0.0,-0.0,2.85809,,,,,,,,,,,,,,0.736806,0.91681,0.0985,0.0,0.0,0.804171,0.594398,0.0,-0.0,1.868558,,,,,,,,,wipe,,,3,,,,,,,,,,16.1022,0,
wipe_target_0003,"[1.6094, -0.6051, 0.855]",kitchen,space_wiping,cf011e20-5625-4376-9866-55ba37cde392,wipe_target_0003,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,False,navigation_pose_unreachable,skip_pose,navigation_target_resolution_failed,False,,False,False,False,False,tiago,skipped,,sponge_left,pickup_loc_resolve,0,0,0,False,False,False,,,,,,,,,,,,1.609429,-0.605128,0.855,sink_area,,,,,,,,1.609429,-0.605128,0.855,0.0,0.0,0.285907,0.958257,0.0,-0.0,0.579905,,,,,,,,,,,,,,0.736806,0.91681,0.0985,0.0,0.0,0.804171,0.594398,0.0,-0.0,1.868558,,,,,,,,,wipe,,,3,,,,,,,,,,1.87,1,pickup_loc_resolve -> RuntimeError: No collision-free navigation pose found for wiping target after environment filtering.
wipe_target_0004,"[1.5678, 1.171, 0.855]",kitchen,space_wiping,cf011e20-5625-4376-9866-55ba37cde392,wipe_target_0004,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,tiago,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,1.567754,1.171009,0.855,sink_area,,,,,,,,1.567754,1.171009,0.855,0.0,0.0,0.936222,-0.351408,0.0,-0.0,-2.423444,,,,,,,,,,,,,,0.73686,0.885063,0.0985,0.0,0.0,0.849408,0.527737,0.0,-0.0,2.029724,,,,,,,,,wipe,,,3,,,,,,,,,,14.9965,0,
wipe_target_0005,"[1.4102, -0.2254, 0.855]",kitchen,space_wiping,cf011e20-5625-4376-9866-55ba37cde392,wipe_target_0005,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,tiago,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,1.410166,-0.225389,0.855,sink_area,,,,,,,,1.410166,-0.225389,0.855,0.0,0.0,0.187819,0.982204,0.0,-0.0,0.377882,,,,,,,,,,,,,,0.733854,-0.307774,0.0985,0.0,0.0,0.238319,0.971187,0.0,-0.0,0.481269,,,,,,,,,wipe,,,3,,,,,,,,,,7.1579,0,
wipe_target_0006,"[-0.9308, 1.4788, 0.857]",kitchen,space_wiping,cf011e20-5625-4376-9866-55ba37cde392,wipe_target_0006,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,tiago,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-0.930828,1.478833,0.857,kitchen_island,,,,,,,,-0.930828,1.478833,0.857,0.0,0.0,0.371328,0.928502,0.0,-0.0,0.760877,,,,,,,,,,,,,,-0.361475,1.411992,0.0985,0.0,0.0,0.990274,-0.139133,0.0,-0.0,-2.862422,,,,,,,,,wipe,,,3,,,,,,,,,,9.271,0,
wipe_target_0007,"[-1.2371, 0.7195, 0.857]",kitchen,space_wiping,cf011e20-5625-4376-9866-55ba37cde392,wipe_target_0007,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,tiago,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-1.237135,0.719531,0.857,kitchen_island,,,,,,,,-1.237135,0.719531,0.857,0.0,0.0,0.862906,0.505364,0.0,-0.0,2.081985,,,,,,,,,,,,,,-1.808287,0.730044,0.0985,0.0,0.0,0.111876,0.993722,0.0,-0.0,0.224222,,,,,,,,,wipe,,,3,,,,,,,,,,8.8871,0,
wipe_target_0008,"[-1.1089, 1.5333, 0.857]",kitchen,space_wiping,cf011e20-5625-4376-9866-55ba37cde392,wipe_target_0008,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,tiago,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-1.108921,1.533294,0.857,kitchen_island,,,,,,,,-1.108921,1.533294,0.857,0.0,0.0,-0.737093,0.675792,0.0,-0.0,-1.657516,,,,,,,,,,,,,,-1.810692,1.696645,0.0985,0.0,0.0,0.199866,0.979823,0.0,-0.0,0.402443,,,,,,,,,wipe,,,3,,,,,,,,,,10.1037,0,
wipe_target_0009,"[-0.9745, 1.0417, 0.857]",kitchen,space_wiping,cf011e20-5625-4376-9866-55ba37cde392,wipe_target_0009,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,tiago,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-0.974523,1.041663,0.857,kitchen_island,,,,,,,,-0.974523,1.041663,0.857,0.0,0.0,0.566298,0.8242,0.0,-0.0,1.204016,,,,,,,,,,,,,,-0.345814,0.939549,0.0985,0.0,0.0,0.989833,-0.142234,0.0,-0.0,-2.856156,,,,,,,,,wipe,,,3,,,,,,,,,,9.8507,0,
wipe_target_0010,"[-1.1508, 1.7856, 0.857]",kitchen,space_wiping,cf011e20-5625-4376-9866-55ba37cde392,wipe_target_0010,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,none,True,True,ok,wipe,primary_attempt,False,,False,False,False,True,tiago,success,RIGHT,sponge_right,primary,1,0,0,False,False,False,,,,,,,,,,,,-1.150836,1.78562,0.857,kitchen_island,,,,,,,,-1.150836,1.78562,0.857,0.0,0.0,-0.517888,0.855448,0.0,-0.0,-1.088761,,,,,,,,,,,,,,-1.963564,2.088113,0.0985,0.0,0.0,0.182627,0.983182,0.0,-0.0,0.367315,,,,,,,,,wipe,,,3,,,,,,,,,,11.4457,0,
