bread_name,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,robot_world_x,robot_world_y,robot_world_z,robot_quat_x,robot_quat_y,robot_quat_z,robot_quat_w,robot_roll_rad,robot_pitch_rad,robot_yaw_rad,robot_to_object_yaw_rad,object_yaw_relative_to_robot_rad,object_yaw_relative_to_approach_rad,cut_normal_relative_to_robot_rad,cut_normal_relative_to_approach_rad,cut_normal_approach_abs_angle_rad,cut_normal_approach_parallel_score,cut_normal_approach_perpendicular_score,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,motion_approach_completed,motion_waypoint_count,motion_stopped_waypoint_index,motion_stopped_waypoint_fraction,motion_stopped_waypoint_x,motion_stopped_waypoint_y,motion_stopped_waypoint_z,motion_stopped_distance_m,motion_progress_note,execution_time_s,failure_count,failure_reasons
bread_0001,bread_cutting,e9f581d5-9249-4e42-9dd3-7b2c6c1a2f26,bread_0001,910001,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,tiago,failed,,knife_left,primary,6,5,6,True,False,True,rotate_z_180deg,-0.153728,-0.05902,-0.03512,0.160858,0.057498,0.042917,0.314585,0.116518,0.078038,0.00286045,2.877859,3.716575,0.976814,map,0.0,0.0,0.0,0.0,,,,2.877859,3.716575,0.976814,0.0,0.0,-0.624376,0.781124,0.0,-0.0,-1.348666,-0.128728,-0.000761,-0.031218,0.07947,0.5,0.05,1.0,0.0,0.0,0.220308,-0.97543,0.0,-1.348666,3.517408,3.67242,0.0985,0.0,0.0,0.949527,0.313684,0.0,-0.0,2.503451,3.072661,2.431068,1.861858,2.431068,1.861858,1.279734,0.28697,0.95794,saw,0.03,4,13,True,701.0,557.0,0.7957142857142857,2.947185002194697,3.592952787823664,1.011126068936061,0.1723888986896503,completed,67.7069,6,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 450 ticks in CuttingAction (status=stagnant, max link displacement 0.00003m over 25 ticks, wiggle=False). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 400 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks, wiggle=False). | RIGHT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 425 ticks in CuttingAction (status=stagnant, max link displacement 0.00001m over 25 ticks, wiggle=False). | LEFT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 450 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks, wiggle=False). | RIGHT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 400 ticks in CuttingAction (status=stagnant, max link displacement 0.00039m over 25 ticks, wiggle=False). | LEFT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 375 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks, wiggle=False)."
bread_0002,bread_cutting,e9f581d5-9249-4e42-9dd3-7b2c6c1a2f26,bread_0002,910001,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,tiago,failed,,knife_left,primary,6,5,6,True,False,True,rotate_z_180deg,-0.20497,-0.078693,-0.046827,0.214477,0.076664,0.057223,0.419447,0.155357,0.10405,0.00678033,2.85368,2.808502,0.976814,map,0.0,0.0,0.0,0.0,,,,2.85368,2.808502,0.976814,0.0,0.0,-0.681813,0.731527,0.0,-0.0,-1.500476,-0.17997,-0.001015,-0.041624,0.059602,0.5,0.05,1.0,0.0,0.0,0.070262,-0.997529,0.0,-1.500476,3.518685,2.980301,0.0985,0.0,0.0,0.945909,0.324433,0.0,-0.0,2.480767,-2.888778,2.301942,1.388302,2.301942,1.388302,1.388302,0.181483,0.983394,saw,0.03,4,13,True,934.0,750.0,0.8038585209003215,2.9334749234523474,2.624176078569956,1.016639551645922,0.4872581244215833,completed,72.6611,6,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 250 ticks in CuttingAction (status=stagnant, max link displacement 0.00003m over 25 ticks, wiggle=False). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00007m over 25 ticks, wiggle=False). | RIGHT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 250 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks, wiggle=False). | LEFT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 325 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks, wiggle=False). | RIGHT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 400 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks, wiggle=False). | LEFT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 350 ticks in CuttingAction (status=wiggle, max link displacement 0.00339m over 25 ticks, wiggle=True)."
bread_0003,bread_cutting,e9f581d5-9249-4e42-9dd3-7b2c6c1a2f26,bread_0003,910001,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,tiago,failed,,knife_left,primary,6,5,6,True,False,True,rotate_z_180deg,-0.20497,-0.078693,-0.046827,0.214477,0.076664,0.057223,0.419447,0.155357,0.10405,0.00678033,2.872105,1.6947,0.976814,map,0.0,0.0,0.0,0.0,,,,2.872105,1.6947,0.976814,0.0,0.0,0.785029,0.619459,0.0,-0.0,1.805487,-0.17997,-0.001015,-0.041624,0.059602,0.5,0.05,1.0,0.0,0.0,-0.232542,0.972586,0.0,1.805487,3.402926,1.647956,0.0985,0.0,0.0,0.998258,-0.059005,0.0,-0.0,-3.023514,3.053759,-1.454184,-1.248271,-1.454184,-1.248271,1.248271,0.316962,0.948438,saw,0.03,4,13,True,934.0,94.0,0.1007502679528403,2.9807124726657164,1.5356247926429816,0.9815366338566622,0.4348611519302712,completed,74.1421,6,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 525 ticks in CuttingAction (status=wiggle, max link displacement 0.00216m over 25 ticks, wiggle=True). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00001m over 25 ticks, wiggle=False). | RIGHT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 275 ticks in CuttingAction (status=stagnant, max link displacement 0.00069m over 25 ticks, wiggle=False). | LEFT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 400 ticks in CuttingAction (status=wiggle, max link displacement 0.00793m over 25 ticks, wiggle=True). | RIGHT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 250 ticks in CuttingAction (status=stagnant, max link displacement 0.00001m over 25 ticks, wiggle=False). | LEFT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 275 ticks in CuttingAction (status=stagnant, max link displacement 0.00002m over 25 ticks, wiggle=False)."
bread_0004,bread_cutting,e9f581d5-9249-4e42-9dd3-7b2c6c1a2f26,bread_0004,910001,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,tiago,failed,,knife_left,primary,6,5,6,True,False,True,rotate_z_180deg,-0.20497,-0.078693,-0.046827,0.214477,0.076664,0.057223,0.419447,0.155357,0.10405,0.00678033,2.741065,2.228671,0.976814,map,0.0,0.0,0.0,0.0,,,,2.741065,2.228671,0.976814,0.0,0.0,0.41771,0.908581,0.0,-0.0,0.861846,-0.17997,-0.001015,-0.041624,0.059602,0.5,0.05,1.0,0.0,0.0,0.651037,0.759046,0.0,0.861846,1.843177,1.863772,0.0985,0.0,0.0,-0.706287,0.707926,0.0,-0.0,-1.568478,0.386009,2.430325,0.475838,2.430325,0.475838,0.475838,0.888909,0.458083,saw,0.03,4,13,True,934.0,50.0,0.0535905680600214,2.5733169064750934,2.135448866952407,1.0167010278592137,0.6380778974858692,completed,106.3832,6,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 275 ticks in CuttingAction (status=stagnant, max link displacement 0.00001m over 25 ticks, wiggle=False). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 575 ticks in CuttingAction (status=stagnant, max link displacement 0.00117m over 25 ticks, wiggle=False). | RIGHT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 325 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks, wiggle=False). | LEFT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 350 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks, wiggle=False). | RIGHT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 250 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks, wiggle=False). | LEFT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 550 ticks in CuttingAction (status=wiggle, max link displacement 0.00256m over 25 ticks, wiggle=True)."
bread_0005,bread_cutting,e9f581d5-9249-4e42-9dd3-7b2c6c1a2f26,bread_0005,910001,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,tiago,failed,,knife_left,primary,6,5,6,True,False,True,rotate_z_180deg,-0.153728,-0.05902,-0.03512,0.160858,0.057498,0.042917,0.314585,0.116518,0.078038,0.00286045,0.347624,3.111203,0.9505,map,0.0,0.0,0.0,0.0,,,,0.347624,3.111203,0.9505,0.0,0.0,0.97433,0.225125,0.0,-0.0,2.68745,-0.128728,-0.000761,-0.031218,0.07947,0.5,0.05,1.0,0.0,0.0,-0.898637,0.438692,0.0,2.68745,1.007067,3.074099,0.0985,0.0,0.0,0.950475,0.310802,0.0,-0.0,2.509518,3.085385,0.177932,-0.397935,0.177932,-0.397935,0.397935,0.921863,0.387516,saw,0.03,4,13,True,701.0,38.0,0.0542857142857142,0.4424706382726122,3.012056039301195,0.9800176800545202,0.450411081692208,completed,119.733,6,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 550 ticks in CuttingAction (status=wiggle, max link displacement 0.00385m over 25 ticks, wiggle=True). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 425 ticks in CuttingAction (status=stagnant, max link displacement 0.00004m over 25 ticks, wiggle=False). | RIGHT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 500 ticks in CuttingAction (status=wiggle, max link displacement 0.00474m over 25 ticks, wiggle=True). | LEFT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 525 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks, wiggle=False). | RIGHT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 700 ticks in CuttingAction (status=wiggle, max link displacement 0.00529m over 25 ticks, wiggle=True). | LEFT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 475 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks, wiggle=False)."
bread_0006,bread_cutting,e9f581d5-9249-4e42-9dd3-7b2c6c1a2f26,bread_0006,910001,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,tiago,failed,,knife_left,primary,6,5,6,True,False,True,rotate_z_180deg,-0.20497,-0.078693,-0.046827,0.214477,0.076664,0.057223,0.419447,0.155357,0.10405,0.00678033,4.949003,4.41803,0.752643,map,0.0,0.0,0.0,0.0,,,,4.949003,4.41803,0.752643,0.0,0.0,0.507617,0.861583,0.0,-0.0,1.064834,-0.17997,-0.001015,-0.041624,0.059602,0.5,0.05,1.0,0.0,0.0,0.48465,0.874708,0.0,1.064834,4.354758,4.191051,0.0985,0.0,0.0,-0.469706,0.882823,0.0,-0.0,-0.977916,0.364861,2.042749,0.699972,2.042749,0.699972,0.699972,0.76486,0.644196,saw,0.03,4,13,True,934.0,748.0,0.8017148981779206,4.983323454687637,4.615631316495405,0.7940669331914926,0.3227270821561058,completed,53.3171,6,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00006m over 25 ticks, wiggle=False). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00002m over 25 ticks, wiggle=False). | RIGHT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00009m over 25 ticks, wiggle=False). | LEFT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00006m over 25 ticks, wiggle=False). | RIGHT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 425 ticks in CuttingAction (status=stagnant, max link displacement 0.00085m over 25 ticks, wiggle=False). | LEFT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 325 ticks in CuttingAction (status=stagnant, max link displacement 0.00011m over 25 ticks, wiggle=False)."
bread_0007,bread_cutting,e9f581d5-9249-4e42-9dd3-7b2c6c1a2f26,bread_0007,910001,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,tiago,failed,,knife_left,primary,6,5,6,True,False,True,rotate_z_180deg,-0.20497,-0.078693,-0.046827,0.214477,0.076664,0.057223,0.419447,0.155357,0.10405,0.00678033,5.046292,3.571247,0.752643,map,0.0,0.0,0.0,0.0,,,,5.046292,3.571247,0.752643,0.0,0.0,-0.51439,0.857556,0.0,-0.0,-1.080593,-0.17997,-0.001015,-0.041624,0.059602,0.5,0.05,1.0,0.0,0.0,0.470806,-0.882237,0.0,-1.080593,5.057364,2.988993,0.0985,0.0,0.0,0.452247,0.891893,0.0,-0.0,0.938566,1.589811,-2.019159,-2.670403,-2.019159,-2.670403,0.471189,0.891029,0.453946,saw,0.03,4,13,True,934.0,559.0,0.5991425509110396,5.017633372503425,3.4807722104877947,0.7586566343357767,0.398782285715391,completed,49.6864,6,"RIGHT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00005m over 25 ticks, wiggle=False). | LEFT primary -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00013m over 25 ticks, wiggle=False). | RIGHT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 350 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks, wiggle=False). | LEFT rotated_90 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 350 ticks in CuttingAction (status=stagnant, max link displacement 0.00140m over 25 ticks, wiggle=False). | RIGHT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00000m over 25 ticks, wiggle=False). | LEFT rotated_180 -> CollisionError (reported as timeout): Motion stalled while waiting for end of motion after 300 ticks in CuttingAction (status=stagnant, max link displacement 0.00015m over 25 ticks, wiggle=False)."
bread_0008,bread_cutting,e9f581d5-9249-4e42-9dd3-7b2c6c1a2f26,bread_0008,910001,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,tiago,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.128106,-0.049183,-0.029267,0.134048,0.047915,0.035765,0.262154,0.097098,0.065031,0.00165535,4.870528,3.957324,0.752643,map,0.0,0.0,0.0,0.0,,,,4.870528,3.957324,0.752643,0.0,0.0,0.97235,0.233528,0.0,-0.0,2.670184,-0.103106,-0.000634,-0.026015,0.095364,0.5,0.05,1.0,0.0,0.0,-0.890929,0.454142,0.0,2.670184,4.372148,3.983748,0.0985,0.0,0.0,0.601916,0.798559,0.0,-0.0,1.291797,-0.05297,1.378387,2.723154,1.378387,2.723154,0.418438,0.913725,0.406334,saw,0.03,4,13,True,584.0,292.0,0.5008576329331046,4.836667046149078,3.975296400250684,0.8240348335552772,0.2028120461098146,completed,16.9946,0,
bread_0001,bread_cutting,bb5a50da-c027-44e0-ac62-5c55b910b14b,bread_0001,910001,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,ok,cut,primary_success,False,,False,False,False,True,rollin_justin,success,RIGHT,knife_right,primary,1,0,0,False,False,False,,-0.153728,-0.05902,-0.03512,0.160858,0.057498,0.042917,0.314585,0.116518,0.078038,0.00286045,2.877859,3.716575,0.976814,map,0.0,0.0,0.0,0.0,,,,2.877859,3.716575,0.976814,0.0,0.0,0.781124,0.624376,0.0,-0.0,1.792927,-0.128728,-0.000761,-0.031218,0.07947,0.5,0.05,1.0,0.0,0.0,-0.220308,0.97543,0.0,1.792927,3.698572,3.151932,0.1616,0.0,0.0,0.995622,-0.093473,0.0,-0.0,-2.954373,2.538972,-1.535885,-0.746045,-1.535885,-0.746045,0.746045,0.734379,0.67874,saw,0.03,4,13,True,701.0,700.0,1.0,2.8486710220744165,3.849262170354717,1.059240885403693,1.2557900861166065,completed,16.1861,0,
bread_0002,bread_cutting,bb5a50da-c027-44e0-ac62-5c55b910b14b,bread_0002,910001,apartment,full_system,base_system,True,,,Knife,middle,1,,,True,True,collision_or_motion_failure,task_failed,all_cut_attempts_failed,False,,False,False,False,False,rollin_justin,failed,,knife_left,primary,6,5,6,True,False,True,rotate_z_180deg,-0.20497,-0.078693,-0.046827,0.214477,0.076664,0.057223,0.419447,0.155357,0.10405,0.00678033,2.85368,2.808502,0.976814,map,0.0,0.0,0.0,0.0,,,,2.85368,2.808502,0.976814,0.0,0.0,-0.681813,0.731527,0.0,-0.0,-1.500476,-0.17997,-0.001015,-0.041624,0.059602,0.5,0.05,1.0,0.0,0.0,0.070262,-0.997529,0.0,-1.500476,3.625305,2.710248,0.1616,0.0,0.0,0.998932,-0.046212,0.0,-0.0,-3.049136,3.01494,1.54866,1.767769,1.54866,1.767769,1.373824,0.195701,0.980664,saw,0.03,4,13,True,934.0,700.0,0.7502679528403001,2.8659808599399548,2.619422054446168,1.079924813163626,1.788376852621245,completed,166.3357,6,RIGHT primary -> CollisionError (reported as timeout): Hard timeout reached while waiting for end of motion after 1000 ticks in CuttingAction. | LEFT primary -> CollisionError (reported as timeout): Hard timeout reached while waiting for end of motion after 1000 ticks in CuttingAction. | RIGHT rotated_90 -> CollisionError (reported as timeout): Hard timeout reached while waiting for end of motion after 1000 ticks in CuttingAction. | LEFT rotated_90 -> CollisionError (reported as timeout): Hard timeout reached while waiting for end of motion after 1000 ticks in CuttingAction. | RIGHT rotated_180 -> CollisionError (reported as timeout): Hard timeout reached while waiting for end of motion after 1000 ticks in CuttingAction. | LEFT rotated_180 -> CollisionError (reported as timeout): Hard timeout reached while waiting for end of motion after 1000 ticks in CuttingAction.
